epoch,lr,stage,train_loss,train_loss_cls,train_loss_reg,train_accuracy,train_precision,train_sensitivity,train_specificity,train_f1,train_auc,train_age_mae,train_age_pearson,val_loss,val_loss_cls,val_loss_reg,val_accuracy,val_precision,val_sensitivity,val_specificity,val_f1,val_auc,val_age_mae,val_age_pearson,val_threshold
1,0.001,frozen,0.0981992243419159,0.07843870018155964,0.39521047703870765,0.5749143835616438,0.7376916868382754,0.5777496839407222,0.5689655172338334,0.6479971591955207,0.6002537666788506,8.508424179558085,0.2772738285811655,0.08470311112508565,0.06881827983759835,0.31769661905760777,0.6447105788423154,0.8232931726576991,0.6047197639939611,0.7283950616834324,0.6972789066580477,0.7052696747878655,7.475559509649787,0.42986221836535066,0.4800000000000001
2,0.0009046039886902864,frozen,0.08844542898850082,0.06982008028418234,0.37250696854946547,0.6288527397260274,0.7908868999121978,0.6144121365321467,0.6591511936252102,0.6915688317868426,0.6920842736756683,8.279772614448383,0.3658988669119687,0.0848205354726481,0.06914880123740423,0.3134346741759135,0.6047904191616766,0.8770053475466841,0.4837758111951688,0.8580246913050602,0.62357413988051,0.6975945955788629,7.469321296740785,0.41143026916707814,0.5000000000000001
3,0.0006548539886902863,frozen,0.08651760497372853,0.06865923586365295,0.3571673713573446,0.6506849315068494,0.8123980424077293,0.6295828065699774,0.6949602121923745,0.7094017044770233,0.7057710751256677,7.979682646400283,0.4026260024530777,0.08665716495669769,0.07088607074525542,0.31542188012433386,0.6367265469061876,0.8584474885452763,0.5545722713700716,0.8086419752587257,0.6738351206551176,0.7104774390910085,7.590225221766629,0.4340945195782873,0.4700000000000001
4,0.0003461460113097138,frozen,0.08388488388888232,0.06654222375930172,0.34685319408213033,0.6566780821917808,0.8113509192581028,0.6419987349738014,0.6874172185339414,0.7168079046673486,0.7309687472510901,7.8723534587936355,0.43963584278618273,0.08402378343328268,0.06824443953301379,0.3155868699450693,0.6147704590818364,0.8924731182315875,0.4896755162097441,0.8765432098224356,0.6323809477815148,0.7067354965585053,7.556438872855961,0.44647854707822965,0.5400000000000001
5,9.639601130971379e-05,frozen,0.08150716837852785,0.06462303228829414,0.3376827140989369,0.6759417808219178,0.8262243285874706,0.6607706885618397,0.7078353253558056,0.7342927293494815,0.7529016383403007,7.739660878894287,0.4608702068164073,0.08443839142392734,0.06893591445958067,0.3100495299179397,0.6047904191616766,0.8895027623817954,0.474926253673306,0.8765432098224356,0.6192307646685651,0.7102953494300595,7.452261770776672,0.44828813396419176,0.5200000000000001
6,0.0001,unfrozen,0.08360188661066636,0.06640075088465867,0.34402270433939486,0.6601027397260274,0.8175948345373883,0.6407337128359221,0.7006622516463489,0.7184397113805016,0.7344651511533903,7.830409926851053,0.4498996992470292,0.08724715504163277,0.0720942514407599,0.3030580786054958,0.6027944111776448,0.8571428570991253,0.4955752212243193,0.8271604937761011,0.6280373785113111,0.6992060890782621,7.334482950361965,0.48826593902082505,0.4800000000000001
7,9.980072755276435e-05,unfrozen,0.07433980445645444,0.05825104420264698,0.32177519752988465,0.7123287671232876,0.8604282315554289,0.6862745097995808,0.7668874172083856,0.7635467930875736,0.8134955242511446,7.492850930421489,0.5144082400348468,0.08050546351961509,0.06590285093454781,0.2920522496193469,0.6726546906187625,0.8378378378054888,0.6401179940814125,0.7407407406950159,0.7257525034264158,0.7322007356422302,7.145934918049873,0.5108610751385044,0.49000000000000005
8,9.920451463563217e-05,unfrozen,0.06845655564652527,0.05293987452830762,0.3103336124387506,0.759845890410959,0.8851095993886235,0.7411392405016384,0.798941798931231,0.8067516312720032,0.8522863505458441,7.377464751420398,0.5457066156188936,0.08518118787549452,0.07060162479138307,0.29159125352572063,0.6826347305389222,0.8688524589807847,0.6253687315449744,0.802469135752934,0.7272727223805419,0.7573564223023416,7.222902603174523,0.5354099878259705,0.4600000000000001
9,9.821616160444475e-05,unfrozen,0.06168449879942896,0.046936556001589316,0.29495885020300544,0.7833904109589042,0.9049773755587861,0.7594936708812691,0.8333333333223104,0.8258774898707804,0.8869068548657156,7.094321847187284,0.5730857428942929,0.10048335268647371,0.0856301367753176,0.29706431595151295,0.6327345309381237,0.850678732993182,0.5545722713700716,0.7962962962471422,0.6714285666265944,0.723023416730398,7.249446283048974,0.5048331051377667,0.5900000000000002
10,9.6843626096667e-05,unfrozen,0.0532430092140726,0.03933314927088173,0.27819719462183445,0.8351883561643836,0.922913719936896,0.8254269449663162,0.8556291390615148,0.871452415710895,0.9259015377139961,6.810607963092871,0.6089998924346185,0.09980542862605668,0.08486212829842782,0.29886599405559,0.6686626746506986,0.9061032863424364,0.5693215339065096,0.8765432098224356,0.6992753575540197,0.7650952328926763,7.2700547652079885,0.5439255866447181,0.6100000000000001
11,9.509795896116976e-05,unfrozen,0.047898333133772425,0.03470611342783915,0.2638443885881403,0.8660102739726028,0.9348422496506528,0.8621125869648191,0.8741721854188851,0.8970055889476642,0.9452463232676108,6.660444000051902,0.6422435440952494,0.11305202610656886,0.09890612775212183,0.28291795978289164,0.656686626746507,0.8744394618441955,0.5752212389210849,0.8271604937761011,0.6939501731242639,0.7355056629884555,7.003325948028625,0.5550183000756258,0.6100000000000001
12,9.299321528329238e-05,unfrozen,0.03902766946862669,0.026481326447787043,0.2509268549117834,0.9011130136986302,0.9610655737639272,0.8899430739981662,0.924503311246033,0.9241379260357948,0.9685503767839115,6.474904521653327,0.6588352325278894,0.12645209321525402,0.11128347728429538,0.30337231459018,0.6966067864271457,0.842490842459982,0.6784660766761514,0.7345679011892242,0.7516339819616921,0.7404129793510325,7.238477686664459,0.515617893315588,0.5900000000000002
13,9.05463412215599e-05,unfrozen,0.03439281312174687,0.0223253814323944,0.24134863182034802,0.9233732876712328,0.9618169848521276,0.9235145385529487,0.9230769230646807,0.9422766799363282,0.9775474754113753,6.282121689210922,0.68016945512404,0.12689542809795,0.11248775867264516,0.2881533955028671,0.6826347305389222,0.8383458646301374,0.6578171091251381,0.7345679011892242,0.7371900776930538,0.7519847773043447,7.1432032511931,0.5387345591184134,0.5800000000000002
14,8.777703756717875e-05,unfrozen,0.029943895529419798,0.018727993433146854,0.22431803962904706,0.9289383561643836,0.9626963350722337,0.9310126582219557,0.9246031745909444,0.946589441584755,0.9844367423481348,6.089399358954804,0.7134645235510843,0.1601216825628709,0.14359992252966713,0.33043521190593816,0.6367265469061876,0.882926829225223,0.5339233038190583,0.8518518517992684,0.6654411717494999,0.7306256600750209,7.769940530107596,0.535005003262474,0.7100000000000002
15,8.470760112484981e-05,unfrozen,0.02726221855567156,0.016642464881305673,0.21239507032481775,0.9434931506849316,0.9750656167915023,0.9405063291079715,0.949735449722887,0.9574742217995819,0.9879135690844552,5.897406121871235,0.7337718632053604,0.16398028353835176,0.14899131479763014,0.2997793623668229,0.6007984031936128,0.8971428570915918,0.4631268436441555,0.8888888888340192,0.6108949371194871,0.7283495393131578,7.246062606453226,0.5326831372920096,0.8500000000000002
16,8.136274519200731e-05,unfrozen,0.02696582301255086,0.01710533536377575,0.197209748586206,0.9460616438356164,0.9660256410194487,0.9537974683483937,0.9298941798818797,0.9598726064590574,0.9874271649588104,5.64607437516404,0.7590142013663663,0.17193851253378414,0.15466971747728692,0.34537592738450407,0.656686626746507,0.871111111072395,0.5781710914283725,0.8209876542703094,0.6950354561725393,0.7324647656506065,7.969830096710758,0.5229520812968436,0.6600000000000001
17,7.776940058187908e-05,unfrozen,0.021651994449737137,0.011996973305342605,0.19310042060503405,0.9623287671232876,0.9794476557419433,0.9645793801330514,0.9576158940270514,0.9719566552872781,0.9935848297875015,5.568316976384111,0.7666399820506198,0.1926350621785411,0.1767104512833619,0.31849222274835476,0.6207584830339321,0.898395721877091,0.4955752212243193,0.8827160493282273,0.638783265355217,0.7406861138424559,7.5110967017391825,0.5049898467860832,0.8700000000000002
18,7.395649879241344e-05,unfrozen,0.016715936493511274,0.007331345017992633,0.18769182597784556,0.9747431506849316,0.9871959026825404,0.9753320683050264,0.9735099337619403,0.9812281209882118,0.9977217035072948,5.491701169804573,0.7754004590020358,0.20161235243260503,0.1852044591876424,0.3281578817172441,0.6067864271457086,0.9176470587695501,0.46017699113686794,0.9135802468571863,0.6129665967058952,0.738291634800976,7.631418791884131,0.4967938879526546,0.8700000000000002
19,6.995473906686923e-05,unfrozen,0.01766596967992309,0.00916714657805268,0.16997645885288104,0.9696061643835616,0.9815168897324315,0.9734513274274751,0.961538461525709,0.977467465638121,0.9963397908164463,5.2027580287756745,0.8010680756499908,0.21537164531782002,0.19866672903702343,0.3340983320020154,0.6387225548902196,0.8726415093927999,0.5457227138482088,0.833333333281893,0.6715063473283686,0.7352598419461743,7.77412945870858,0.5197866677753001,0.8000000000000002
20,6.57963412215599e-05,unfrozen,0.014865172041375956,0.007003347015958989,0.15723649766264253,0.9764554794520548,0.987220447278037,0.977848101259634,0.9735449735320959,0.9825119186822602,0.9977479740137968,4.935218867129074,0.8192772938473553,0.22714180167682632,0.21008393913653597,0.34115724286395394,0.6387225548902196,0.907216494798597,0.5191740412826202,0.8888888888340192,0.6604127533189951,0.7538603008121199,7.802003859572967,0.5120495621221626,0.9100000000000003
